,Year,Weight,Score
275,2013,40,0.30935251798561153
276,2014,40,0.2945945945945946
277,2015,40,0.28293736501079914
278,2016,40,0.28933092224231466
279,2017,40,0.29893778452200304
280,2011,41,0.2765957446808511
281,2012,41,0.2864864864864865
282,2013,41,0.30935251798561153
283,2014,41,0.2945945945945946
284,2015,41,0.28293736501079914
285,2016,41,0.28933092224231466
286,2017,41,0.29893778452200304
287,2011,42,0.2765957446808511
288,2012,42,0.2864864864864865
289,2013,42,0.30935251798561153
290,2014,42,0.2945945945945946
291,2015,42,0.28293736501079914
292,2016,42,0.28933092224231466
293,2017,42,0.29893778452200304
294,2011,43,0.2765957446808511
295,2012,43,0.2864864864864865
296,2013,43,0.30935251798561153
297,2014,43,0.2945945945945946
298,2015,43,0.28293736501079914
299,2016,43,0.28933092224231466
300,2017,43,0.29893778452200304
301,2011,44,0.2765957446808511
302,2012,44,0.2864864864864865
303,2013,44,0.30935251798561153
304,2014,44,0.2945945945945946
305,2015,44,0.28293736501079914
306,2016,44,0.28933092224231466
307,2017,44,0.29893778452200304
308,2011,45,0.2765957446808511
309,2012,45,0.2864864864864865
310,2013,45,0.30935251798561153
311,2014,45,0.2945945945945946
312,2015,45,0.28293736501079914
313,2016,45,0.28933092224231466
314,2017,45,0.29893778452200304
315,2011,46,0.2765957446808511
316,2012,46,0.2864864864864865
317,2013,46,0.30935251798561153
318,2014,46,0.2945945945945946
319,2015,46,0.28293736501079914
320,2016,46,0.28933092224231466
321,2017,46,0.29893778452200304
322,2011,47,0.2765957446808511
323,2012,47,0.2864864864864865
324,2013,47,0.30935251798561153
325,2014,47,0.2945945945945946
326,2015,47,0.28293736501079914
327,2016,47,0.28933092224231466
328,2017,47,0.29893778452200304
329,2011,48,0.2765957446808511
330,2012,48,0.2864864864864865
331,2013,48,0.30935251798561153
332,2014,48,0.2945945945945946
333,2015,48,0.28293736501079914
334,2016,48,0.28933092224231466
335,2017,48,0.29893778452200304
336,2011,49,0.2765957446808511
337,2012,49,0.2864864864864865
338,2013,49,0.30935251798561153
339,2014,49,0.2945945945945946
340,2015,49,0.28293736501079914
341,2016,49,0.28933092224231466
342,2017,49,0.29893778452200304
343,2011,50,0.2765957446808511
344,2012,50,0.2864864864864865
345,2013,50,0.30935251798561153
346,2014,50,0.2945945945945946
347,2015,50,0.28293736501079914
348,2016,50,0.28933092224231466
349,2017,50,0.29893778452200304
350,2011,51,0.2765957446808511
351,2012,51,0.2864864864864865
352,2013,51,0.30935251798561153
353,2014,51,0.2945945945945946
354,2015,51,0.28293736501079914
355,2016,51,0.28933092224231466
356,2017,51,0.29893778452200304
357,2011,52,0.2765957446808511
358,2012,52,0.2864864864864865
359,2013,52,0.30935251798561153
360,2014,52,0.2945945945945946
361,2015,52,0.28293736501079914
362,2016,52,0.28933092224231466
363,2017,52,0.29893778452200304
364,2011,53,0.2765957446808511
365,2012,53,0.2864864864864865
366,2013,53,0.30935251798561153
367,2014,53,0.2945945945945946
368,2015,53,0.28293736501079914
369,2016,53,0.28933092224231466
370,2017,53,0.29893778452200304
371,2011,54,0.2765957446808511
372,2012,54,0.2864864864864865
373,2013,54,0.30935251798561153
374,2014,54,0.2945945945945946
375,2015,54,0.28293736501079914
376,2016,54,0.28933092224231466
377,2017,54,0.29893778452200304
378,2011,55,0.2765957446808511
379,2012,55,0.2864864864864865
380,2013,55,0.30935251798561153
381,2014,55,0.2945945945945946
382,2015,55,0.28293736501079914
383,2016,55,0.28933092224231466
384,2017,55,0.29893778452200304
385,2011,56,0.2765957446808511
386,2012,56,0.2864864864864865
387,2013,56,0.30935251798561153
388,2014,56,0.2945945945945946
389,2015,56,0.28293736501079914
390,2016,56,0.28933092224231466
391,2017,56,0.29893778452200304
392,2011,57,0.2765957446808511
393,2012,57,0.2864864864864865
394,2013,57,0.30935251798561153
395,2014,57,0.2945945945945946
396,2015,57,0.28293736501079914
397,2016,57,0.28933092224231466
398,2017,57,0.29893778452200304
399,2011,58,0.2765957446808511
400,2012,58,0.2864864864864865
401,2013,58,0.30935251798561153
402,2014,58,0.2945945945945946
403,2015,58,0.28293736501079914
404,2016,58,0.28933092224231466
405,2017,58,0.29893778452200304
406,2011,59,0.2765957446808511
407,2012,59,0.2864864864864865
408,2013,59,0.30935251798561153
409,2014,59,0.2945945945945946
410,2015,59,0.28293736501079914
411,2016,59,0.28933092224231466
412,2017,59,0.29893778452200304
413,2011,60,0.2765957446808511
414,2012,60,0.2864864864864865
415,2013,60,0.30935251798561153
416,2014,60,0.2945945945945946
417,2015,60,0.28293736501079914
418,2016,60,0.28933092224231466
419,2017,60,0.29893778452200304
420,2011,61,0.2765957446808511
421,2012,61,0.2864864864864865
