,Unnamed: 0,Rnk,Rider,Team,Age,Pnt,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking,Year,Month,Day,old_elo,new_elo,old_rd,new_rd,Date1
130057,130075.0,10,620.0,32,28.0,3.0,51,-1.0,10/15/2017,-,0.0,0 km,132.0,2017,10,15,1500.0,1500.0,350.0,350.0,2017-10-15
56790,56794.0,52,257.0,106,23.0,3.0,51,-1.0,10/15/2017,-,0.0,0 km,132.0,2017,10,15,1500.0,1500.0,350.0,350.0,2017-10-15
194734,194787.0,52,1161.0,86,24.0,3.0,51,-1.0,10/15/2017,-,0.0,0 km,132.0,2017,10,15,1500.0,1500.0,350.0,350.0,2017-10-15
192678,192723.0,17,1141.0,87,35.0,5.0,51,-1.0,10/15/2017,-,0.0,0 km,132.0,2017,10,15,1133.5377532396049,1500.0,229.08315658590513,350.0,2017-10-15
65199,65209.0,90,293.0,41,26.0,150.0,51,-1.0,10/15/2017,-,0.0,0 km,132.0,2017,10,15,1874.901534504802,2328.854417893488,215.17914462391204,252.01777512890817,2017-10-15
150258,150282.0,7,779.0,106,23.0,3.0,51,-1.0,10/15/2017,-,0.0,0 km,132.0,2017,10,15,1500.0,1500.0,350.0,350.0,2017-10-15
139359,139377.0,66,675.0,87,27.0,3.0,51,-1.0,10/15/2017,-,0.0,0 km,132.0,2017,10,15,1500.0,1500.0,350.0,350.0,2017-10-15
62366,62376.0,63,280.0,86,21.0,3.0,51,-1.0,10/15/2017,-,0.0,0 km,132.0,2017,10,15,1500.0,698.8517398347693,350.0,252.01777512890817,2017-10-15
190760,190805.0,43,1127.0,201,27.0,28.0,51,-1.0,10/15/2017,-,0.0,0 km,132.0,2017,10,15,1023.7804381089918,1614.478906436353,215.17914462391204,252.01777512890817,2017-10-15
139894,139912.0,118,680.0,87,30.0,3.0,51,-1.0,10/15/2017,-,0.0,0 km,132.0,2017,10,15,1152.529508055838,1500.0,185.50702165214767,350.0,2017-10-15
149743,149767.0,24,771.0,106,33.0,70.0,51,-1.0,10/15/2017,-,0.0,0 km,132.0,2017,10,15,1500.0,1976.6901230467247,350.0,252.01777512890817,2017-10-15
9597,9597.0,52,51.0,32,26.0,3.0,51,-1.0,10/15/2017,-,0.0,0 km,132.0,2017,10,15,1500.0,1500.0,350.0,350.0,2017-10-15
192604,192649.0,70,1140.0,114,29.0,3.0,51,-1.0,10/15/2017,-,0.0,0 km,132.0,2017,10,15,1023.6628566241017,1023.6628566241017,226.60561705996648,226.60561705996648,2017-10-15
148547,148571.0,131,760.0,130,20.0,3.0,51,-1.0,10/15/2017,-,0.0,0 km,132.0,2017,10,15,1500.0,1500.0,350.0,350.0,2017-10-15
68327,68337.0,155,301.0,106,24.0,3.0,51,-1.0,10/15/2017,-,0.0,0 km,132.0,2017,10,15,1500.0,1500.0,350.0,350.0,2017-10-15
147713,147737.0,71,752.0,86,23.0,3.0,51,-1.0,10/15/2017,-,0.0,0 km,132.0,2017,10,15,1500.0,1500.0,350.0,350.0,2017-10-15
58517,58521.0,63,262.0,106,23.0,3.0,51,-1.0,10/15/2017,-,0.0,0 km,132.0,2017,10,15,1500.0,1500.0,350.0,350.0,2017-10-15
147425,147443.0,60,743.0,86,22.0,3.0,51,-1.0,10/15/2017,-,0.0,0 km,132.0,2017,10,15,1500.0,1500.0,350.0,350.0,2017-10-15
144657,144675.0,158,711.0,41,26.0,3.0,51,-1.0,10/15/2017,-,0.0,0 km,132.0,2017,10,15,1500.0,1500.0,350.0,350.0,2017-10-15
191698,191743.0,25,1134.0,112,25.0,3.0,51,-1.0,10/15/2017,-,0.0,0 km,132.0,2017,10,15,1500.0,1500.0,350.0,350.0,2017-10-15
58640,58644.0,56,263.0,130,25.0,3.0,51,-1.0,10/15/2017,-,0.0,0 km,132.0,2017,10,15,1500.0,1500.0,350.0,350.0,2017-10-15
