,Unnamed: 0,Rnk,Rider,Team,Age,Pnt,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking,Year,Month,Day,old_elo,new_elo,old_rd,new_rd,old_team_elo,new_team_elo,old_team_rd,new_team_rd,Date1
179519,179562.0,2,1057.0,89,27.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,741.1731050970493,350.0,267.3822067751187,2016-01-24
225590,225644.0,116,1440.0,89,25.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,741.1731050970493,350.0,267.3822067751187,2016-01-24
3653,3653.0,85,23.0,41,29.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,1300.3087118676444,350.0,267.3822067751187,2016-01-24
196543,196596.0,114,1178.0,188,29.0,7.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1255.9148674266423,350.0,223.2269653039427,1500.0,900.9261356029336,350.0,267.3822067751187,2016-01-24
197200,197253.0,39,1187.0,92,35.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,1220.4321966147022,350.0,267.3822067751187,2016-01-24
224210,224264.0,45,1432.0,41,33.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,1300.3087118676444,350.0,267.3822067751187,2016-01-24
211195,211248.0,95,1311.0,52,39.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,821.985742851784,350.0,223.2269653039427,1500.0,1699.6912881323556,350.0,267.3822067751187,2016-01-24
197812,197865.0,94,1195.0,89,31.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,496.53889942063995,350.0,223.2269653039427,1500.0,741.1731050970493,350.0,267.3822067751187,2016-01-24
223221,223275.0,163,1419.0,84,36.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,1619.8147728794133,350.0,267.3822067751187,2016-01-24
197904,197957.0,125,1197.0,105,23.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,2178.9503796500085,350.0,267.3822067751187,2016-01-24
199285,199338.0,102,1215.0,68,25.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,1939.3208338911822,350.0,267.3822067751187,2016-01-24
222350,222403.0,51,1414.0,7,26.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,550.7800399924972,350.0,223.2269653039427,1500.0,821.0496203499914,350.0,267.3822067751187,2016-01-24
5514,5514.0,65,33.0,42,26.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,930.4680239954987,350.0,223.2269653039427,1500.0,1460.061742373529,350.0,267.3822067751187,2016-01-24
