,Rnk,Prev,▼▲,BIB,Rider,Age,Team,UCI,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
173,174,174,-,161,CHICCHI Francesco,30,Quickstep Cycling Team,,6:546:54,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
174,175,175,-,99,ŠPILAK Simon,24,Lampre - ISD,,6:556:55,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
175,176,176,-,177,VAN EMDEN Jos,26,Rabobank Cycling Team,,6:576:57,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
176,177,177,-,174,CLEMENT Stef,28,Rabobank Cycling Team,,",,6:57",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
177,178,178,-,17,GASTAUER Ben,23,AG2R La Mondiale,,7:017:01,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
178,179,179,-,182,DIDIER Laurent,26,Saxo Bank - Sungard,,",,7:01",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
179,180,180,-,189,MØRKØV Michael,26,Saxo Bank - Sungard,,",,7:01",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
180,181,181,-,185,KLOSTERGAARD Kasper,27,Saxo Bank - Sungard,,7:037:03,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
181,182,182,-,89,KUSCHYNSKI Aleksandr,31,Team Katusha,,7:067:06,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
182,183,183,-,83,BRUTT Pavel,29,Team Katusha,,7:167:16,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
183,184,184,-,68,ARDILA Mauricio Alberto,31,Geox-TMC Transformers,,7:247:24,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
184,185,185,-,98,RIGHI Daniele,35,Lampre - ISD,,7:337:33,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
185,186,186,-,172,FLENS Rick,28,Rabobank Cycling Team,,7:357:35,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
